position,age,games_played,games_started,minutes_played_per_game,field_goals_per_game,field_goals_attempts_per_game,three_point_field_goals_per_game,three_point_field_goals_attempts_per_game,two_point_field_goals_per_game,two_point_field_goals_attempts_per_game,free_throws_per_game,free_throws_attempts_per_game,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game
C,23,55,12,20.7,3.6,7.3,0.5,2,3,5.4,1.6,2.3,1.8,4.1,6,0.9,0.6,0.5,1.1,1.9,9.2
C,29,42,42,27,3.7,6.3,0,0,3.7,6.2,1.1,3.1,5.1,6.5,11.5,2.3,0.9,1.1,1.9,2.3,8.6
C,25,75,75,34.6,8,14.9,0,0.2,8,14.7,4.3,5.4,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4
SG,22,59,22,20.5,2.8,6.5,1.4,3.9,1.4,2.7,0.9,1.2,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,7.9
PF,22,77,20,21.8,3.2,6.8,1.2,3.5,2,3.4,1.4,1.9,1.1,3.7,4.8,1.3,0.6,0.6,0.8,1.9,9
SG,24,59,3,15,2.2,5,1,2.7,1.2,2.3,0.7,1,0.3,1.5,1.7,1.8,0.5,0.4,0.9,1.5,6.2
SG,27,72,70,27.4,3.4,7.7,2,5.1,1.4,2.7,1.6,1.8,0.8,2.4,3.3,2.3,0.9,0.2,1,1.6,10.4
C,24,68,68,32.6,5.9,9.2,0,0.1,5.9,9.1,2.4,3.3,3.3,6.5,9.8,1.7,0.8,1.2,1.4,2.3,14.3
PG,24,61,10,21.5,3.3,8,1.4,4,1.9,4,1.1,1.3,0.5,1.9,2.3,3,1.1,0.2,1.3,2,9
PF,29,69,46,28.4,3.7,7.2,0.6,1.5,3,5.7,1.4,2,1,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4
PF,28,63,63,32.1,11.2,20.3,0.7,2.7,10.5,17.6,7.9,12.3,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1
PF,30,37,0,5.6,0.5,1.2,0,0.2,0.5,1,0.3,0.6,0.4,0.8,1.2,0.4,0.1,0.1,0.3,0.6,1.4
PG,22,60,4,25.9,4.6,10.2,1.3,3.4,3.4,6.7,2.5,2.8,0.8,4,4.8,3.9,0.6,0.5,1.5,2.6,13
SF,25,67,67,35.6,6.3,13.2,2.1,5.5,4.2,7.7,2.1,2.5,1.4,3.5,5,2,1.9,0.7,2,3,16.8
PG,28,20,4,8.6,0.5,1.9,0.4,1.2,0.1,0.7,0,0,0,0.8,0.8,1.2,0.3,0,0.4,0.9,1.3
SF,22,76,40,26.6,3.3,7.6,0.9,3.1,2.4,4.6,1.6,2.2,1,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2
C,24,67,67,30.4,7.8,13.2,0.1,0.4,7.7,12.9,2.3,3,2.6,7.4,10,1.7,0.6,0.8,1.8,2.8,18
C,23,36,4,10,1.6,2,0,0,1.6,2,0.2,0.6,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,3.5
C,23,42,25,23.6,4.8,9.1,0.5,1.6,4.4,7.5,1.9,2.6,2.2,4.2,6.4,0.9,0.5,0.7,1.1,1.9,12
SF,20,31,0,7.3,1.4,3.5,1,2.7,0.4,0.8,0.1,0.2,0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9
PG,21,36,36,35.2,8.2,20,4,10.6,4.2,9.4,2.8,3.4,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3
C,24,49,7,15.7,2.4,4.9,1,2.5,1.4,2.4,0.8,1.3,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6
PF,20,72,72,33.8,6.7,15.6,1.2,4,5.5,11.6,5.5,7.4,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20
SG,24,58,58,31.7,7.8,16.2,2.9,7,4.9,9.2,3.1,3.5,0.7,4.3,5,4.4,1,0.4,2.2,2.6,21.5
PG,23,31,2,9,1.8,4.2,0.5,1.6,1.3,2.5,0.5,0.8,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,4.6
PF,19,28,0,14.6,1.6,3.1,0,0.1,1.6,2.9,0.6,0.9,1.6,2,3.6,0.9,0.4,0.7,0.5,2,3.9
PF,30,82,82,32.5,4.6,9.6,1.6,4.3,3,5.3,4.3,5,1.1,3.4,4.5,1.6,0.7,0.1,1,1.3,15
SF,21,77,76,34.8,6,13.2,0.8,2.9,5.2,10.3,2.5,3.2,2.3,4.3,6.6,4.8,1.1,0.8,2,2.2,15.3
SG,22,73,73,33.9,7,16.1,1.7,5.3,5.3,10.8,4,5.4,0.8,4.2,5,2.8,0.4,0.2,2.2,2.5,19.6
SG,32,56,2,17.7,2.5,6.5,1.2,3.2,1.3,3.3,0.7,0.8,0.3,2.2,2.4,2,0.5,0.2,0.9,1,6.8
C,22,35,2,14.5,2.5,3.9,0.1,0.2,2.4,3.6,0.6,1.1,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7
PF,27,67,42,21.7,3.5,6.9,0.8,2.1,2.7,4.8,1.8,2.2,1,2.7,3.7,1.5,0.7,0.3,0.8,0.9,9.7
PF,34,78,19,21.9,2.1,4.9,1.6,4.1,0.5,0.8,0.4,0.6,0.8,3,3.8,1.6,0.7,0.6,0.6,1.9,6.1
C,22,43,1,14.3,1.9,4.3,0.5,1.2,1.5,3,0.9,1.6,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1,5.2
